id,rle_mask
b45ad3932e,49 11 149 11 249 11 351 10 452 9 553 9 654 8 754 9 854 9 955 9 1056 8 1157 7 1258 6 1359 5 1460 5 1561 4 1662 4 1763 3 1864 3 1966 2 2067 1 2167 2 3940 4 3990 2 4041 9 4092 3 4142 13 4182 16 4243 17 4275 25 4344 21 4367 35 4445 60 4546 62 4647 64 4748 66 4849 68 4950 70 5051 71 5152 72 5253 73 5354 73 5455 73 5556 73 5657 73 5758 73 5859 72 5962 67 6063 63 6165 58 6267 55 6370 51 6472 49 6574 48 6676 47 6778 47 6880 47 6982 45 7084 42 7185 40 7287 37 7388 35 7490 33 7592 32 7693 32 7794 31 7897 29 7998 29 8099 29 8201 28 8302 27 8402 28 8502 28 8602 28 8702 27 8802 25 8901 25 9001 25 9099 28 9195 33 9293 36 9394 36 9495 36 9596 36 9697 36 9798 36 9899 34 10000 32 10101 30
ef51bbcde7,
d4d34af4f7,8788 1414
302ea1ac81,6 96 108 95 210 94 311 94 413 93 515 92 615 93 716 93 818 92 920 91 1021 91 1123 90 1225 89 1327 88 1428 88 1530 87 1630 88 1731 88 1831 89 1932 89 2032 90 2132 91 2233 91 2333 92 2433 93 2534 93 2634 94 2735 94 2837 93 2939 92 3040 92 3142 91 3243 91 3344 91 3445 91 3546 91 3646 92 3747 91 3847 91 3947 90 4047 89 4147 88 4246 89 4345 90 4445 90 4546 89 4647 88 4748 86 4849 84 4950 81 5051 79 5152 76 5253 75 5354 73 5455 70 5556 65 5657 59 5758 54 5859 50 5960 48 6061 45 6162 43 6263 39 6371 28 6476 19 6583 5
40dcff68b3,3536 4 3637 20 3738 36 3839 53 3940 70 4041 86 4142 99 4243 5959
7845115d01,7677 2525
3da729cae9,1 54 102 54 203 53 304 53 405 53 506 53 607 53 708 52 809 51 910 48 1011 46 1112 43 1213 41 1314 38 1415 36 1516 33 1617 31 1718 30 1819 29 1920 28 2021 27 2122 27 2223 29 2324 29 2425 29 2526 27 2627 26 2728 26 2829 26 2930 24 3031 23 3132 22 3233 19 3334 17 3435 14 3536 12 3637 10 3738 7 3839 6 3940 4 4041 3 4142 1
d67e3a11d8,
b3396387a6,42 60 141 62 241 63 341 64 441 65 542 65 642 66 742 67 842 68 942 69 1042 70 1142 71 1243 71 1344 71 1446 70 1548 69 1649 69 1750 69 1852 68 1954 67 2056 66 2158 65 2260 64 2362 63 2464 62 2566 61 2669 59 2771 58 2873 57 2975 56 3077 55 3179 54 3280 54 3380 55 3480 56 3580 57 3681 57 3782 57 3883 57 3984 57 4085 57 4186 57 4287 57 4387 58 4489 57 4590 57 4691 57 4792 57 4894 56 4995 56 5096 56 5197 56 5299 55 5400 55 5501 55 5602 55 5704 54 5806 53 5907 53 6009 52 6111 51 6212 51 6313 51 6415 50 6516 50 6617 50 6717 51 6818 51 6919 51 7019 52 7119 53 7219 54 7319 55 7419 56 7520 56 7621 56 7722 56 7823 56 7924 56 8025 56 8126 56 8228 55 8329 55 8430 55 8531 55 8632 55 8734 51 8835 48 8937 44 9038 40 9140 36 9242 31 9344 26 9447 21 9549 16 9651 13 9753 9 9855 6 9957 3
a5471f53d8,9797 1 9891 8 9986 14 10081 20 10176 26
d27831fef2,93 9 195 8 296 8 397 8 498 8 599 8 701 7 802 7 903 7 1005 6 1106 6 1207 6 1308 6 1410 5 1511 5 1612 5 1713 5 1815 4 1916 4 2017 4 2118 4 2219 4 2320 4 2421 4 2522 4 2623 4 2723 5 2824 5 2924 6 3024 7 3124 8 3224 9 3323 11 3423 12 3523 13 3623 14 3723 15 3823 16 3924 16 4024 17 4125 17 4225 18 4325 19 4425 20 4525 21 4626 21 4725 23 4825 24 4925 25 5025 26 5126 26 5226 27 5326 28 5426 29 5527 29 5628 29 5728 30 5829 30 5930 30 6031 30 6132 30 6233 30 6334 30 6435 30 6535 31 6636 31 6737 31 6837 32 6938 32 7039 32 7139 33 7240 33 7340 34 7441 34 7542 34 7642 35 7743 35 7844 35 7944 36 8045 36 8146 36 8246 37 8347 37 8448 37 8548 38 8649 38 8749 39 8850 39 8950 40 9050 41 9151 41 9251 42 9352 42 9452 43 9552 44 9652 45 9753 45 9853 46 9953 47 10053 48 10154 48
7faea04242,1 6865 6869 92 6970 86 7071 81 7172 76 7273 71 7374 65 7475 59 7576 54 7677 48 7778 44 7879 39 7980 34 8081 28 8182 22 8283 15
9747413253,
b9614348f4,1 3434 3439 97 3544 93 3647 91 3749 90 3853 87 3955 86 4062 80 4168 75 4271 73 4374 71 4477 69 4580 67 4685 63 4787 62 4891 59 4992 59 5094 58 5196 57 5300 54 5406 49 5511 45 5616 41 5717 41 5824 35 5928 32 6030 31 6132 30 6240 23 6342 22 6450 15 6556 9
4696bb53e6,23 79 127 76 228 76 335 70 439 67 543 64 650 58 754 55 864 46 968 43 1072 40 1179 34 1283 31 1390 25 1494 22 1601 16 1705 13 1809 10 1916 4 5959 1 6054 7 6152 10 6250 13 6348 16 6446 19 6547 19 6645 22 6743 25 6844 25 6942 28 7040 31 7141 31 7239 34 7340 34 7438 37 7539 37 7640 37 7741 37 7842 37 7940 40 8041 40 8145 37 8246 37 8347 37 8448 37 8549 37 8647 40 8748 40 8852 37 8953 37 9054 37 9155 37 9253 40 9354 40 9455 40 9556 40 9657 40 9758 40 9856 43 9957 43 10058 43 10159 43
fc250f574c,3435 1 3536 1 3637 2 3738 2 3839 3 3940 3 4041 3 4142 3 4243 3 4344 3 4445 3 4546 4 4647 5 4748 5 4849 6 4950 7 5051 7 5152 8 5253 9 5354 9 5455 10 5556 10 5657 11 5758 11 5859 12 5960 12 6061 13 6162 13 6263 14 6364 14 6465 15 6566 16 6667 16 6768 17 6869 17 6970 18 7071 19 7172 19 7273 19 7374 20 7475 20 7576 20 7677 21 7778 21 7879 21 7980 21 8081 21 8182 21 8283 22 8384 22 8485 22 8586 22 8687 22 8788 23 8896 16 9005 8
005b452274,
02117a400e,4041 1 4142 4 4243 7 4344 10 4445 13 4546 15 4647 17 4748 19 4849 21 4950 23 5051 25 5152 26 5253 27 5354 28 5455 29 5556 30 5657 32 5758 32 5859 33 5960 34 6061 35 6162 36 6263 36 6364 37 6465 38 6566 38 6667 39 6768 39 6869 40 6970 41 7071 41 7172 42 7273 43 7374 43 7475 44 7576 45 7677 46 7778 47 7879 47 7980 48 8081 49 8182 50 8283 51 8384 51 8485 52 8586 53 8687 53 8788 54 8889 55 8990 56 9091 56 9192 57 9293 58 9394 58 9495 59 9596 60 9697 60 9798 60 9899 61 10000 61 10101 61
4e4cadf03f,
1ee0d5b4d0,1412 3 1511 5 1605 12 1704 14 1804 15 1904 16 1999 22 2098 24 2199 24 2297 27 2390 35 2489 37 2587 40 2687 41 2787 42 2887 43 2983 48 3079 53 3179 54 3274 60 3374 61 3473 63 3573 64 3667 71 3767 72 3864 76 3963 78 4061 81 4161 82 4252 92 4352 93 4450 96 4551 96 4652 96 4753 96 4854 96 4953 98 5052 403 5456 706 6163 100 6264 100 6365 100 6466 100 6567 403 6973 98 7075 97 7177 96 7278 96 7380 95 7481 95 7582 95 7683 95 7783 96 7884 96 7984 97 8082 100 8183 100 8285 99 8386 99 8488 98 8589 98 8691 97 8794 95 8896 94 9002 89 9104 88 9207 86 9312 82 9415 80 9517 79 9621 76 9725 73 9827 72 9930 70 10032 69 10134 68
fdc28cafdc,6869 1 7172 1 7273 2 7374 5 7475 6 7576 7 7677 7 7778 8 7879 8 7980 8 8081 8 8182 8 8283 9 8384 10 8485 11 8586 15 8687 19 8788 22 8889 25 8990 28 9091 32 9192 35 9293 38 9394 42 9495 47 9596 51 9697 55 9798 60 9899 63 10000 66 10101 70
2bc8a3db3c,68 34 168 35 268 36 369 36 470 36 570 37 671 37 771 38 871 39 971 40 1071 41 1172 41 1272 42 1372 43 1472 44 1573 44 1673 45 1774 45 1874 46 1975 46 2076 46 2177 46 2279 45 2380 45 2482 44 2584 43 2686 42 2788 41 2891 39 2992 39 3093 39 3194 39 3296 38 3397 38 3498 38 3600 37 3701 37 3803 36 3904 36 4006 35 4107 35 4209 34 4310 34 4412 33 4513 33 4615 32 4717 31 4818 31 4920 30 5022 29 5123 29 5225 28 5327 27 5428 27 5530 26 5632 25 5733 25 5835 24 5937 23 6038 23 6140 22 6241 22 6343 21 6444 21 6546 20 6647 20 6749 19 6850 19 6952 18 7053 18 7155 17 7256 17 7358 16 7459 16 7561 15 7662 15 7764 14 7865 14 7967 13 8068 13 8170 12 8271 12 8373 11 8474 11 8575 11 8677 10 8778 10 8880 9 8981 9 9082 9 9183 9 9285 8 9386 8 9487 8 9588 8 9690 7 9791 7 9892 7 9994 6 10095 6 10197 5
35fd991255,1 505 511 96 613 95 718 91 820 90 923 88 1026 86 1129 84 1231 83 1333 82 1435 81 1538 79 1641 77 1746 73 1848 72 1951 70 2054 68 2157 66 2260 64 2362 63 2465 61 2568 59 2669 59 2770 59 2873 57 2974 57 3076 56 3178 55 3280 54 3382 53 3483 53 3585 52 3687 51 3788 51 3890 50 3991 50 4094 48 4195 48 4296 48 4396 49 4497 49 4603 44 4705 43 4807 42 4908 42 5009 42 5109 43 5208 45 5309 45 5410 45 5511 45 5613 44 5714 44 5815 44 5916 44 6017 44 6119 43 6220 43 6321 43 6422 43 6523 43 6624 43 6724 44 6825 44 6925 45 7026 45 7126 46 7226 47 7327 47 7428 47 7528 48 7628 49 7729 49 7830 49 7930 50 8031 50 8132 50 8233 50 8334 50 8435 50 8536 50 8637 50 8738 50 8840 49 8941 49 9041 50 9142 50 9242 51 9342 52 9444 51 9545 51 9646 51 9747 51 9848 51 9948 52 10049 52 10150 52
68a2df3195,1 1919 1921 100 2023 99 2126 97 2228 96 2330 95 2433 93 2536 91 2639 89 2741 88 2844 86 2948 83 3051 81 3154 79 3257 77 3360 75 3463 73 3567 70 3670 68 3773 66 3876 64 3979 62 4082 60 4185 58 4289 55 4392 53 4495 51 4598 49 4702 46 4805 44 4908 42 5011 40 5114 38 5217 36 5321 33 5424 31 5527 29 5630 27 5733 25 5836 23 5938 22 6041 20 6144 18 6247 16 6350 14 6453 12 6556 10 6659 8 6762 6 6865 4 6968 2
3be0c0be8e,
1f0b16aa13,
9bf982cf65,1 85 102 86 203 87 304 88 405 89 506 90 607 91 708 91 809 92 910 93 1011 94 1112 94 1213 95 1314 96 1415 96 1516 97 1617 97 1718 98 1819 98 1920 99 2021 99 2122 100 2223 100 2324 4140 6465 100 6566 100 6667 100 6768 100 6869 100 6970 100 7071 100 7172 100 7273 100 7374 100 7475 100 7576 99 7677 99 7778 99 7879 98 7980 98 8081 97 8182 97 8283 96 8384 96 8485 95 8586 94 8687 93 8788 93 8889 92 8990 91 9091 90 9192 89 9293 89 9394 88 9495 88 9596 87 9697 87 9798 86 9899 86 10000 85 10101 85
36aa21019e,173 8 271 21 369 36 466 40 562 45 657 51 751 58 842 68 933 78 1022 5443 6466 100 6573 94 6677 91 6782 87 6887 83 6993 78 7097 75 7201 72 7305 69 7408 67 7512 64 7615 62 7719 59 7822 57 7925 55 8027 54 8129 53 8231 52 8332 52 8434 51 8535 51 8637 50 8738 50 8839 50 8940 50 9042 49 9143 49 9245 48 9346 48 9447 48 9548 48 9649 48 9750 48 9851 48 9952 48 10054 47 10155 47
d422a9eb8f,
e0b6a1211f,
5e3c2aa2bb,
d3f3db7bd1,
0b176124c4,8788 3 8889 6 8990 10 9091 14 9192 18 9293 22 9394 26 9432 7 9495 54 9596 60 9697 64 9798 67 9899 67 10000 65 10101 63
368f635c4c,
eabe9337a9,1 6868 6870 100 6972 99 7075 97 7177 96 7279 95 7381 94 7482 94 7584 93 7685 93 7787 92 7888 92 7989 92 8091 91 8193 90 8295 89 8397 88 8500 86 8602 85 8705 83 8807 82 8910 80 9012 79 9114 78 9216 77 9318 76 9420 75 9522 74 9624 73 9727 71 9829 70 9932 68 10034 67 10138 64
c4f2799234,9045 46 9111 1091
50290e75f9,1 44 102 40 203 37 304 34 405 32 506 29 607 25 708 21 809 17 910 13 1011 12 1112 10 1213 8 1314 5 1415 4 1516 3 1617 1
06289f69f8,1 3230 3233 97 3334 95 3435 92 3536 90 3637 88 3738 86 3839 83 3940 81 4041 69 4142 67 4243 64 4344 61 4445 59 4546 57 4647 54 4748 51 4849 48 4950 46 5051 43 5152 40 5253 37 5354 34 5455 31 5556 28 5657 26 5758 24 5859 22 5960 20 6061 18 6162 16 6263 15 6364 14 6465 12 6566 11 6667 10 6768 9 6869 9 6970 8 7071 7 7172 7 7273 6 7374 6 7475 5 7576 5 7677 4 7778 4 7879 3 7980 3 8081 2 8182 2 8283 1
3f8634704b,
f328eccbf3,1 32 102 31 203 29 304 28 405 27 506 26 607 25 708 24 809 23 910 22 1011 21 1112 20 1213 20 1314 19 1415 18 1516 18 1617 17 1718 16 1819 15 1920 14 2021 13 2122 12 2223 10 2324 8 2425 7 2526 5 2627 3 2728 1
9f0ebbd210,1 1717 1720 99 1822 98 1925 96 2027 95 2129 94 2232 92 2334 91 2436 90 2539 88 2641 87 2743 86 2845 85 2947 84 3049 83 3151 82 3252 82 3354 81 3456 80 3558 79 3659 79 3761 78 3862 78 3964 77 4065 77 4166 77 4268 76 4369 76 4471 75 4572 75 4674 74 4775 74 4877 73 4978 73 5080 72 5181 72 5283 71 5385 70 5486 70 5588 69 5690 68 5792 67 5893 67 5995 66 6097 65 6198 65 6300 64 6402 63 6504 62 6605 62 6707 61 6809 60 6911 59 7013 58 7115 57 7217 56 7319 55 7421 54 7523 53 7625 52 7728 50 7830 49 7932 48 8034 47 8137 45 8239 44 8342 42 8444 41 8547 39 8650 37 8752 36 8855 34 8957 33 9060 31 9162 30 9265 28 9368 26 9470 25 9573 23 9676 21 9778 20 9881 18 9984 16 10086 15 10189 13
dd5a90cf89,505 1 600 7 695 13 790 19 885 25 983 28 1078 34 1176 37 1274 40 1372 43 1473 43 1571 46 1669 49 1767 52 1865 55 1963 58 2061 61 2162 61 2263 61 2361 64 2462 64 2563 64 2664 64 2765 64 2863 67 2964 67 3065 67 3166 67 3267 67 3368 67 3469 67 3570 67 3671 67 3772 67 3873 67 3974 67 4075 67 4176 67 4277 67 4378 67 4479 67 4580 67 4681 67 4782 67 4883 67 4984 67 5085 67 5186 67 5287 67 5388 67 5492 64 5593 64 5694 64 5795 64 5896 64 5997 64 6101 61 6202 61 6303 61 6404 61 6505 61 6606 61 6707 61 6808 61 6909 61 7010 61 7111 61 7215 58 7316 58 7417 58 7518 58 7619 58 7720 58 7821 58 7922 58 8023 58 8124 58 8225 58 8326 58 8427 58 8528 58 8629 58 8730 58 8831 58 8932 58 9033 58 9134 58 9232 61 9333 61 9434 61 9532 64 9633 64 9734 64 9835 64 9936 64 10040 61 10141 61
5b836d2444,7374 1 7475 2 7576 3 7677 4 7778 5 7879 5 7980 6 8081 7 8182 7 8283 8 8384 8 8485 9 8586 10 8687 10 8788 10 8889 10 8990 10 9091 10 9192 10 9293 10 9394 10 9495 10 9596 10 9697 10 9798 9 9899 9 10000 9 10101 8
6c3a9009c8,
1263576548,1119 3 1218 20 1319 34 1421 60 1522 70 1623 85 1724 95 1827 93 1930 91 2031 91 2132 91 2229 95 2329 96 2429 97 2528 99 2631 97 2736 93 2838 92 2940 91 3043 89 3146 87 3247 87 3349 86 3450 86 3551 86 3652 86 3754 85 3856 84 3959 82 4061 81 4163 80 4267 77 4370 75 4473 73 4575 72 4682 66 4785 64 4887 63 4989 62 5091 61 5193 60 5294 60 5396 59 5497 59 5598 59 5699 59 5799 60 5899 61 5999 62 6099 63 6199 64 6300 64 6400 65 6502 64 6603 64 6704 64 6805 64 6901 69 7001 70 7101 71 7202 71 7302 72 7400 75 7490 86 7587 90 7684 2518
5edb37f5a8,
3f8a8f4715,7980 1 8081 2 8182 3 8283 4 8384 5 8485 6 8586 8 8687 9 8788 10 8889 12 8990 13 9091 14 9192 16 9293 17 9394 19 9495 20 9596 21 9697 23 9798 24 9899 25 10000 27 10101 28
75e041fbd8,32 70 132 71 232 72 332 73 432 74 532 75 632 76 732 77 832 78 932 79 1033 79 1133 80 1233 81 1334 81 1434 82 1535 82 1635 83 1736 83 1836 84 1936 85 2036 86 2136 87 2236 88 2336 89 2436 90 2536 91 2636 92 2737 92 2837 93 2938 93 3038 94 3138 95 3238 96 3338 97 3438 98 3538 6664
58777a8c79,4272 14 4372 20 4472 27 4572 32 4672 38 4773 41 4874 45 4974 48 5075 51 5176 53 5277 54 5378 56 5479 57 5543 10 5579 60 5640 16 5680 78 5781 78 5882 78 5983 78 6083 79 6184 79 6285 79 6386 79 6486 80 6587 80 6688 80 6788 81 6889 81 6990 81 7090 82 7190 83 7290 84 7391 84 7491 85 7591 86 7691 87 7791 88 7891 89 7992 89 8092 90 8193 90 8293 91 8394 91 8495 91 8595 92 8696 92 8797 92 8898 92 8999 92 9100 92 9201 92 9302 92 9403 92 9504 92 9605 92 9706 92 9808 91 9909 91 10011 90 10112 90
b2899a1188,
428a877104,
13209940d7,24 78 124 79 224 80 326 79 428 78 531 76 634 74 736 73 838 72 941 70 1043 69 1145 68 1246 68 1348 67 1449 67 1548 69 1648 70 1746 73 1845 75 1946 75 2047 75 2149 74 2251 73 2351 74 2452 74 2552 75 2653 75 2754 75 2854 76 2954 77 3053 79 3153 80 3253 81 3355 80 3459 77 3562 75 3667 71 3773 66 3879 61 3985 56 4092 50 4194 49 4296 48 4395 50 4495 51 4596 51 4696 52 4796 53 4895 55 4996 55 5096 56 5197 56 5298 56 5400 55 5503 53 5606 51 5709 49 5810 49 5911 49 6013 48 6116 46 6218 45 6320 44 6422 43 6524 42 6625 42 6727 41 6828 41 6929 41 7030 41 7131 41 7233 40 7334 40 7434 41 7533 43 7633 44 7733 45 7834 45 7935 45 8036 45 8135 47 8236 47 8338 46 8442 43 8557 29 8684 3
d0319f0ec5,1 6589 6592 98 6695 95 6798 92 6901 90 7004 87 7107 85 7211 81 7314 78 7417 58 7476 16 7520 56 7623 54 7726 52 7829 50 7932 48 8035 46 8139 43 8242 41 8344 40 8447 38 8550 36 8652 35 8754 34 8856 33 8958 32 9060 31 9162 30 9264 29 9366 28 9468 27 9570 26 9672 25 9774 24 9875 24 9977 23 10079 22 10181 21
b92ff69b44,
9e9f3940a9,8977 2 9080 2 9182 2 9284 1
728890d8f8,8384 2 8485 5 8586 7 8687 10 8788 13 8889 15 8990 18 9091 21 9192 23 9293 24 9394 24 9495 25 9596 26 9697 27 9798 27 9899 28 10000 29 10101 30
754cfc4b80,
127ef4105f,13 89 115 88 217 87 319 86 420 86 522 85 623 85 724 85 825 85 926 85 1027 85 1128 85 1228 86 1329 86 1430 86 1531 86 1631 87 1732 87 1833 87 1934 87 2035 87 2136 87 2238 86 2339 86 2440 86 2542 85 2643 85 2745 84 2847 83 2949 82 3052 80 3154 79 3256 78 3359 76 3461 75 3563 74 3666 72 3768 71 3870 70 3972 69 4074 68 4176 67 4279 65 4381 64 4483 63 4585 62 4687 61 4789 60 4891 59 4994 57 5096 56 5198 55 5300 54 5402 53 5503 53 5605 52 5707 51 5809 50 5911 49 6012 49 6114 48 6216 47 6317 47 6418 47 6519 47 6620 47 6721 47 6821 48 6922 48 7022 49 7122 50 7223 50 7323 51 7423 52 7523 53 7623 54 7723 55 7823 56 7923 57 8023 58 8124 58 8224 59 8324 60 8424 61 8525 61 8625 62 8725 63 8825 64 8925 65 9025 66 9125 67 9225 68 9324 70 9424 71 9525 71 9625 72 9725 73 9825 74 9925 75 10026 75 10126 76
42758bb41a,5409 1 5510 4 5610 7 5711 9 5812 11 5912 14 6013 17 6114 19 6215 22 6316 24 6418 26 6519 28 6621 30 6722 32 6824 33 6926 35 7028 37 7129 40 7231 42 7333 41 7435 40 7536 40 7638 39 7739 39 7841 38 7942 38 8043 38 8144 38 8245 38 8347 37 8448 37 8549 37 8650 37 8751 37 8852 37 8954 36 9055 36 9157 35 9258 35 9360 34 9461 34 9563 33 9664 33 9765 33 9867 32 9968 32 10070 31 10171 31
4e6855dbae,1 6767 6769 100 6872 98 6975 96 7078 94 7181 92 7284 90 7387 88 7490 86 7593 84 7696 82 7799 80 7901 79 8004 77 8107 75 8209 74 8312 72 8414 71 8517 69 8619 68 8721 67 8823 66 8925 65 9027 64 9130 62 9232 61 9334 60 9436 59 9537 59 9639 58 9741 57 9842 57 9943 57 10044 57 10145 57
4a12baccc4,
3281bb7282,3334 5 3435 13 3536 24 3637 35 3738 44 3839 52 3940 60 4041 66 4142 72 4243 76 4344 79 4445 81 4546 82 4647 84 4748 85 4849 86 4950 87 5051 87 5152 88 5253 89 5354 91 5455 94 5556 97 5657 100 5758 4444
f1774ff8e8,1 6867 6869 100 6970 99 7071 99 7172 98 7273 98 7374 97 7475 97 7576 97 7677 96 7778 96 7879 96 7980 95 8081 95 8182 95 8283 94 8384 94 8485 94 8586 94 8687 94 8788 94 8889 93 8990 94 9091 94 9192 94 9293 94 9394 94 9495 94 9596 95 9697 95 9798 95 9899 95 10000 95 10101 95
628ea36ba6,
95a60e2f42,9065 8 9163 15 9262 20 9361 25 9460 30 9559 35 9657 39 9755 43 9852 47 9948 52 10043 58 10138 64
e2421eee13,4445 3 4546 9 4647 15 4748 22 4849 29 4950 35 5051 39 5152 41 5253 43 5354 44 5455 46 5556 49 5657 51 5758 54 5859 55 5960 57 6061 59 6162 60 6263 62 6364 63 6465 64 6566 65 6667 66 6768 67 6869 68 6970 70 7071 72 7172 73 7273 75 7374 77 7475 78 7576 79 7677 79 7778 80 7879 81 7980 82 8081 83 8182 84 8283 85 8384 86 8485 87 8586 89 8687 90 8788 92 8889 93 8990 95 9091 95 9192 96 9293 97 9394 98 9495 100 9596 100 9697 505
fcb49356a5,
63feb8de2b,
992572448c,79 23 179 24 279 25 380 25 480 26 581 26 681 27 782 27 883 27 983 28 1084 28 1185 28 1286 28 1387 28 1489 27 1590 27 1691 27 1793 26 1894 26 1996 25 2097 25 2199 24 2300 24 2402 23 2504 22 2605 22 2707 21 2809 20 2910 20 3012 19 3114 18 3215 18 3317 17 3419 16 3520 16 3622 15 3724 14 3825 14 3927 13 4028 13 4129 13 4231 12 4332 12 4433 12 4534 12 4635 12 4736 12 4837 12 4938 12 5039 12 5141 11 5242 11 5343 11 5444 11 5545 11 5647 10 5748 10 5849 10 5950 10 6052 9 6153 9 6254 9 6355 9 6457 8 6558 8 6659 8 6760 8 6861 8 6962 8 7064 7 7165 7 7266 7 7367 7 7468 7 7569 7 7670 7 7771 7 7872 7 7973 7 8074 7 8175 7 8276 7 8378 6 8479 6 8580 6 8681 6 8782 6 8883 6 8985 5 9086 5 9187 5 9289 4 9390 4 9491 4 9592 4 9694 3 9795 3 9896 3 9997 3 10098 3 10200 2
0926b7396b,
8f407b64ae,
e667f4d290,
7deaf30c4a,4344 5858
28553d5d42,4946 4 5047 4 5148 4 5249 4 5351 3 5452 3 5552 4 5651 6 5751 7 5850 9 5951 9 6051 10 6152 10 6252 11 6353 11 6452 13 6552 14 6652 15 6752 16 6852 17 6952 18 7052 19 7153 19 7254 19 7355 19 7456 19 7558 18 7659 18 7761 17 7864 15 7965 15 8070 11 8173 9 8276 7 8379 5 8483 2
be565e046b,
b183b2ddc4,35 67 136 67 238 66 339 66 441 65 543 64 644 64 745 64 847 63 948 63 1049 63 1151 62 1253 61 1354 61 1455 61 1556 61 1657 61 1757 62 1858 62 1960 61 2061 61 2163 60 2265 59 2368 57 2470 56 2572 55 2676 52 2779 50 2883 47 2987 44 3091 41 3196 37 3304 30 3414 21 3525 11 3636 1
cf11876547,
495a2d3c7c,1 8170 8177 91 8283 82 8384 79 8485 75 8586 73 8687 70 8788 68 8889 66 8990 65 9091 64 9192 63 9293 62 9394 61 9495 61 9596 60 9697 60 9798 59 9900 58 10001 58 10102 57
a536f382ec,
8fb68e99e8,
a8247ac73a,
